Name,Suburb,School Level
SUCCESS PRIMARY SCHOOL,SUCCESS,PRIMARY SCHOOLS
SUTHERLAND DIANELLA PRIMARY SCHOOL,DIANELLA,PRIMARY SCHOOLS
SWAN CHRISTIAN COLLEGE,MIDDLE SWAN,NON-GOVERNMENT
SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,AVELEY,NON-GOVERNMENT
SWAN VIEW PRIMARY SCHOOL,SWAN VIEW,PRIMARY SCHOOLS
SWAN VIEW SENIOR HIGH SCHOOL,SWAN VIEW,SECONDARY SCHOOLS
SWANBOURNE PRIMARY SCHOOL,SWANBOURNE,PRIMARY SCHOOLS
TAKARI PRIMARY SCHOOL,BALCATTA,PRIMARY SCHOOLS
TAMBELLUP PRIMARY SCHOOL,TAMBELLUP,PRIMARY SCHOOLS
TAMBREY PRIMARY SCHOOL,KARRATHA,PRIMARY SCHOOLS
TAMMIN PRIMARY SCHOOL,TAMMIN,PRIMARY SCHOOLS
TAPPING PRIMARY SCHOOL,TAPPING,PRIMARY SCHOOLS
TELETHON SPEECH & HEARING,WEMBLEY,NON-GOVERNMENT
THE BEEHIVE MONTESSORI SCHOOL INC,MOSMAN PARK,NON-GOVERNMENT
THE JAPANESE SCHOOL IN PERTH,CITY BEACH,NON-GOVERNMENT
THE KING'S COLLEGE,WELLARD,NON-GOVERNMENT
THE MONTESSORI SCHOOL,KINGSLEY,NON-GOVERNMENT
THE SILVER TREE STEINER SCHOOL,PARKERVILLE,NON-GOVERNMENT
THORNLIE CHRISTIAN COLLEGE,SOUTHERN RIVER,NON-GOVERNMENT
THORNLIE PRIMARY SCHOOL,THORNLIE,PRIMARY SCHOOLS
THORNLIE SENIOR HIGH SCHOOL,THORNLIE,SECONDARY SCHOOLS
THREE SPRINGS PRIMARY SCHOOL,THREE SPRINGS,PRIMARY SCHOOLS
TJUNTJUNTJARA REMOTE COMMUNITY SCHOOL,GREAT VICTORIA DESERT,PRIMARY SCHOOLS
TOM PRICE PRIMARY SCHOOL,TOM PRICE,PRIMARY SCHOOLS
TOM PRICE SENIOR HIGH SCHOOL,TOM PRICE,SECONDARY SCHOOLS
TOODYAY DISTRICT HIGH SCHOOL,TOODYAY,DISTRICT HIGH SCHOOLS
TRANBY COLLEGE,BALDIVIS,NON-GOVERNMENT
TRAYNING PRIMARY SCHOOL,TRAYNING,PRIMARY SCHOOLS
TREENDALE PRIMARY SCHOOL,AUSTRALIND,PRIMARY SCHOOLS
TREETOPS MONTESSORI SCHOOL,DARLINGTON,NON-GOVERNMENT
TRINITY COLLEGE,EAST PERTH,NON-GOVERNMENT
TUART COLLEGE,TUART HILL,SECONDARY SCHOOLS
TUART FOREST PRIMARY SCHOOL,DALYELLUP,PRIMARY SCHOOLS
TUART HILL COMMUNITY KINDERGARTEN,TUART HILL,COMMUNITY KINDERGARTENS
TUART HILL PRIMARY SCHOOL,TUART HILL,PRIMARY SCHOOLS
TUART RISE PRIMARY SCHOOL,BALDIVIS,PRIMARY SCHOOLS
TWO ROCKS PRIMARY SCHOOL,TWO ROCKS,PRIMARY SCHOOLS
UPPER SWAN PRIMARY SCHOOL,UPPER SWAN,PRIMARY SCHOOLS
URSULA FRAYNE CATHOLIC COLLEGE,VICTORIA PARK,NON-GOVERNMENT
USELESS LOOP PRIMARY SCHOOL,USELESS LOOP,PRIMARY SCHOOLS
VASSE PRIMARY SCHOOL,VASSE,PRIMARY SCHOOLS
VICTORIA PARK CHRISTIAN SCHOOL,VICTORIA PARK,NON-GOVERNMENT
VICTORIA PARK PRIMARY SCHOOL,VICTORIA PARK,PRIMARY SCHOOLS
WADDINGTON PRIMARY SCHOOL,KOONDOOLA,PRIMARY SCHOOLS
WAGGRAKINE PRIMARY SCHOOL,WAGGRAKINE,PRIMARY SCHOOLS
WAGIN DISTRICT HIGH SCHOOL,WAGIN,DISTRICT HIGH SCHOOLS
WAIKIKI PRIMARY SCHOOL,WAIKIKI,PRIMARY SCHOOLS
WALKAWAY PRIMARY SCHOOL,WALKAWAY,PRIMARY SCHOOLS
WALLISTON PRIMARY SCHOOL,WALLISTON,PRIMARY SCHOOLS
WALPOLE PRIMARY SCHOOL,WALPOLE,PRIMARY SCHOOLS
WANALIRRI CATHOLIC SCHOOL,VIA DERBY,NON-GOVERNMENT
WANANAMI REMOTE COMMUNITY SCHOOL,DERBY,PRIMARY SCHOOLS
WANDERING PRIMARY SCHOOL,WANDERING,PRIMARY SCHOOLS
WANDINA PRIMARY SCHOOL,WANDINA,PRIMARY SCHOOLS
WANGKATJUNGKA REMOTE COMMUNITY SCHOOL,CHRISTMAS CREEK,PRIMARY SCHOOLS
WANNEROO PRIMARY SCHOOL,WANNEROO,PRIMARY SCHOOLS
WANNEROO SECONDARY COLLEGE,WANNEROO,SECONDARY SCHOOLS
WARLAWURRU CATHOLIC SCHOOL,HALLS CREEK,NON-GOVERNMENT
WARNBRO COMMUNITY HIGH SCHOOL,WARNBRO,SECONDARY SCHOOLS
WARNBRO COMMUNITY HIGH SCHOOL EDUCATION SUPPORT CENTRE,WARNBRO,EDUCATION SUPPORT
WARNBRO PRIMARY SCHOOL,WARNBRO,PRIMARY SCHOOLS
WAROONA DISTRICT HIGH SCHOOL,WAROONA,DISTRICT HIGH SCHOOLS
WARRIAPENDI PRIMARY SCHOOL,BALGA,PRIMARY SCHOOLS
WARWICK SENIOR HIGH SCHOOL,WARWICK,SECONDARY SCHOOLS
WATHEROO PRIMARY SCHOOL,WATHEROO,PRIMARY SCHOOLS
WATTLE GROVE PRIMARY SCHOOL,WATTLE GROVE,PRIMARY SCHOOLS
WELD SQUARE PRIMARY SCHOOL,MORLEY,PRIMARY SCHOOLS
WELLARD PRIMARY SCHOOL,WELLARD,PRIMARY SCHOOLS
WELLSTEAD PRIMARY SCHOOL,WELLSTEAD,PRIMARY SCHOOLS
WEMBLEY DOWNS PRIMARY SCHOOL,WEMBLEY DOWNS,PRIMARY SCHOOLS
WEMBLEY PRIMARY SCHOOL,WEMBLEY,PRIMARY SCHOOLS
WESLEY COLLEGE,SOUTH PERTH,NON-GOVERNMENT
WEST BALCATTA PRIMARY SCHOOL,BALCATTA,PRIMARY SCHOOLS
WEST BEECHBORO PRIMARY SCHOOL,BEECHBORO,PRIMARY SCHOOLS
WEST BUSSELTON PRIMARY SCHOOL,BUSSELTON,PRIMARY SCHOOLS
WEST BYFORD PRIMARY SCHOOL,BYFORD,PRIMARY SCHOOLS
WEST COAST LANGUAGE DEVELOPMENT CENTRE,PADBURY,EDUCATION SUPPORT
WEST COAST SECONDARY EDUCATION SUPPORT CENTRE,WARWICK,EDUCATION SUPPORT
WEST COAST STEINER SCHOOL,NOLLAMARA,NON-GOVERNMENT
WEST GREENWOOD PRIMARY SCHOOL,GREENWOOD,PRIMARY SCHOOLS
WEST LEEDERVILLE PRIMARY SCHOOL,LEEDERVILLE,PRIMARY SCHOOLS
WEST LEEMING PRIMARY SCHOOL,LEEMING,PRIMARY SCHOOLS
WEST MORLEY PRIMARY SCHOOL,DIANELLA,PRIMARY SCHOOLS
WEST NORTHAM PRIMARY SCHOOL,NORTHAM,PRIMARY SCHOOLS
WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - CUNDERDIN,CUNDERDIN,SECONDARY SCHOOLS
WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - DENMARK,DENMARK,SECONDARY SCHOOLS
WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - HARVEY,WOKALUP,SECONDARY SCHOOLS
WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - MORAWA,MORAWA,SECONDARY SCHOOLS
WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - NARROGIN,NARROGIN,SECONDARY SCHOOLS
WESTFIELD PARK PRIMARY SCHOOL,CAMILLO,PRIMARY SCHOOLS
WESTMINSTER EDUCATION SUPPORT CENTRE,WESTMINSTER,EDUCATION SUPPORT
WESTMINSTER JUNIOR PRIMARY SCHOOL,WESTMINSTER,PRIMARY SCHOOLS
WESTMINSTER PRIMARY SCHOOL,WESTMINSTER,PRIMARY SCHOOLS
WHITE GUM VALLEY PRIMARY SCHOOL,WHITE GUM VALLEY,PRIMARY SCHOOLS
WHITFORD CATHOLIC PRIMARY SCHOOL,CRAIGIE,NON-GOVERNMENT
WICKEPIN PRIMARY SCHOOL,WICKEPIN,PRIMARY SCHOOLS
WICKHAM PRIMARY SCHOOL,WICKHAM,PRIMARY SCHOOLS
WILLANDRA PRIMARY SCHOOL,SEVILLE GROVE,PRIMARY SCHOOLS
WILLETTON PRIMARY SCHOOL,WILLETTON,PRIMARY SCHOOLS
WILLETTON SENIOR HIGH SCHOOL,WILLETTON,SECONDARY SCHOOLS
WILLIAMS PRIMARY SCHOOL,WILLIAMS,PRIMARY SCHOOLS
WILSON PARK PRIMARY SCHOOL,COLLIE,PRIMARY SCHOOLS
WILSON PRIMARY SCHOOL,WILSON,PRIMARY SCHOOLS
WILUNA REMOTE COMMUNITY SCHOOL,WILUNA,PRIMARY SCHOOLS
WINTERFOLD PRIMARY SCHOOL,BEACONSFIELD,PRIMARY SCHOOLS
WINTHROP PRIMARY SCHOOL,WINTHROP,PRIMARY SCHOOLS
WIRRABIRRA EDUCATION SUPPORT CENTRE,GOSNELLS,EDUCATION SUPPORT
WIRRABIRRA PRIMARY SCHOOL,GOSNELLS,PRIMARY SCHOOLS
WONGAN HILLS DISTRICT HIGH SCHOOL,WONGAN HILLS,DISTRICT HIGH SCHOOLS
WONGUTHA CHRISTIAN ABORIGINAL PARENT-DIRECTED SCHOOL,GIBSON,NON-GOVERNMENT
WOODANILLING PRIMARY SCHOOL,WOODANILLING,PRIMARY SCHOOLS
WOODBRIDGE PRIMARY SCHOOL,WOODBRIDGE,PRIMARY SCHOOLS
WOODBURY BOSTON PRIMARY SCHOOL,"TORBAY HILL, KRONKUP",NON-GOVERNMENT
WOODLAND GROVE PRIMARY SCHOOL,BYFORD,PRIMARY SCHOOLS
WOODLANDS PRIMARY SCHOOL,WOODLANDS,PRIMARY SCHOOLS
WOODLUPINE PRIMARY SCHOOL,FORRESTFIELD,PRIMARY SCHOOLS
WOODTHORPE SCHOOL,WILLETTON,NON-GOVERNMENT
WOODVALE PRIMARY SCHOOL,WOODVALE,PRIMARY SCHOOLS
WOODVALE SECONDARY COLLEGE,WOODVALE,SECONDARY SCHOOLS
WOOROLOO PRIMARY SCHOOL,WOOROLOO,PRIMARY SCHOOLS
WULUNGARRA SCHOOL,FITZROY CROSSING,NON-GOVERNMENT
WUNDOWIE PRIMARY SCHOOL,WUNDOWIE,PRIMARY SCHOOLS
WYALKATCHEM DISTRICT HIGH SCHOOL,WYALKATCHEM,DISTRICT HIGH SCHOOLS
WYNDHAM DISTRICT HIGH SCHOOL,WYNDHAM,DISTRICT HIGH SCHOOLS
XAVIER CATHOLIC SCHOOL,HILBERT,NON-GOVERNMENT
YAKAMIA PRIMARY SCHOOL,ALBANY,PRIMARY SCHOOLS
YAKANARRA COMMUNITY SCHOOL,YAKANARRA,NON-GOVERNMENT
YALE PRIMARY SCHOOL,THORNLIE,PRIMARY SCHOOLS
YALGOO PRIMARY SCHOOL,YALGOO,PRIMARY SCHOOLS
YALLINGUP STEINER SCHOOL,YALLINGUP,NON-GOVERNMENT
YANCHEP BEACH PRIMARY SCHOOL,YANCHEP,PRIMARY SCHOOLS
YANCHEP LAGOON PRIMARY SCHOOL,YANCHEP,PRIMARY SCHOOLS
YANCHEP SECONDARY COLLEGE,YANCHEP,SECONDARY SCHOOLS
YANDEYARRA REMOTE COMMUNITY SCHOOL,YANDEYARRA COMMUNITY,PRIMARY SCHOOLS
YANGEBUP PRIMARY SCHOOL,YANGEBUP,PRIMARY SCHOOLS
YARLOOP PRIMARY SCHOOL,YARLOOP,PRIMARY SCHOOLS
YEALERING PRIMARY SCHOOL,YEALERING,PRIMARY SCHOOLS
YERECOIN PRIMARY SCHOOL,YERECOIN,PRIMARY SCHOOLS
YIDARRA CATHOLIC PRIMARY SCHOOL,BATEMAN,NON-GOVERNMENT
YIRAMALAY/WESLEY STUDIO SCHOOL,VIA FITZROY CROSSING,NON-GOVERNMENT
YIYILI ABORIGINAL COMMUNITY SCHOOL,VIA HALLS CREEK,NON-GOVERNMENT
YOKINE PRIMARY SCHOOL,YOKINE,PRIMARY SCHOOLS
YORK DISTRICT HIGH SCHOOL,YORK,DISTRICT HIGH SCHOOLS
YULE BROOK COLLEGE,MADDINGTON,SECONDARY SCHOOLS
YULGA JINNA REMOTE COMMUNITY SCHOOL,YULGA JINNA REMOTE COMMUNITY,PRIMARY SCHOOLS
YULUMA PRIMARY SCHOOL,INNALOO,PRIMARY SCHOOLS
YUNA PRIMARY SCHOOL,YUNA,PRIMARY SCHOOLS
